source,target,num_players,total_amount,total_adjusted_amount,"num_young_players, num_middle_aged_players, num_old_players"
209,27,1,0.057,0.1333333333333333333333333333,1,0,0
2995,1436,3,0.00063,0.001435406698564593301435406699,0,2,1
3396,6981,2,0,0,1,1,0
11596,993,1,0,0,0,1,0
24,23,2,0.00114,0.002279088364654138344662135146,2,0,0
631,989,4,0.391,0.1544966018650229176544966019,3,0,1
2944,36,3,0.0684,0.08734602463605823068309070549,2,1,0
630,1087,3,0,0,1,1,1
2995,366,1,0,0,0,1,0
610,1090,4,0,0,1,2,1
159,449,2,0.02056,0.02389306599832915622389306600,0,2,0
60,82,3,0.057,0.05771235018238665971860343929,1,2,0
17499,2566,1,0,0,0,1,0
601,8031,1,0,0,0,1,0
10690,16242,2,0,0,2,0,0
2444,2446,16,0,0,10,2,4
2190,3592,1,0,0,0,1,0
500,475,1,0,0,1,0,0
833,12388,1,0,0,0,0,1
2696,1180,3,0.00086,0.001289548657969710601289548658,1,1,1
1214,868,1,0,0,1,0,0
150,418,1,0.1881,0.07432432432432432432432432432,1,0,0
1084,13,5,0.0627,0.1105925289823958780592528982,1,3,1
197,862,2,0.0228,0.04761904761904761904761904762,1,1,0
317,1283,2,0,0,2,0,0
416,26789,3,0.00228,0.0009009009009009009009009009009,2,0,1
7185,2154,1,0,0,0,1,0
520,506,3,0,0,3,0,0
336,982,2,0,0,2,0,0
1181,1045,1,0.00798,0.01196581196581196581196581197,0,1,0
1084,3057,2,0,0,0,1,1
1025,1005,4,0,0,1,2,1
833,120,5,0,0,0,2,3
1386,398,4,0,0,4,0,0
281,603,2,0,0,1,0,1
200,1283,4,0,0,3,1,0
683,159,4,0.01516,0.01045661328403066469161940398,1,3,0
162,1159,6,0.057,0.08611955420466058763931104356,4,1,1
683,720,3,0.057,0.05319148936170212765957446809,2,1,0
171,3302,4,0.0251,0.02342291899962672639044419560,1,2,1
1159,995,1,0,0,0,1,0
1017,4,1,0,0,1,0,0
273,2150,1,0.0422,0.08813700918964076858813700919,1,0,0
475,1096,6,0,0,1,5,0
833,114,7,0.057,0.09306804306804306804306804306,7,0,0
2503,2420,2,0.00456,0.002962962962962962962962962963,1,0,1
762,631,4,0.0969,0.2023809523809523809523809524,2,2,0
553,3396,3,0,0,1,1,1
22214,820,1,0,0,1,0,0
355,1022,1,0,0,0,1,0
162,12,2,0.1368,0.2790697674418604651162790698,1,1,0
873,1071,4,0.1265,0.2174158054513899363126004926,2,2,0
24,6711,2,0.0114,0.02325581395348837209302325581,1,1,0
1184,520,1,0,0,0,1,0
405,972,1,0,0,1,0,0
2410,2374,4,0,0,0,2,2
1164,415,1,0,0,0,1,0
3993,5220,1,0,0,1,0,0
29228,601,1,0,0,0,1,0
10005,2424,3,0,0,3,0,0
5268,3719,3,0,0,0,2,1
354,41274,1,0,0,1,0,0
3532,4482,1,0,0,0,0,1
2424,7378,1,0,0,1,0,0
989,1032,5,0.00741,0.008552631578947368421052631579,4,0,1
1444,1158,1,0.00912,0.008510638297872340425531914894,0,1,0
22045,862,6,0,0,4,2,0
455,720,4,0.057,0.1162790697674418604651162791,1,3,0
614,2457,1,0,0,1,0,0
8671,3205,1,0,0,0,1,0
5268,932,4,0.0547,0.1115871073031415748674010608,1,3,0
1025,1429,5,0.02508,0.02645422120571868264542212057,2,1,2
667,583,3,0.0718,0.1563258673138931561878172708,1,2,0
221,1049,2,0.00684,0.01395348837209302325581395349,2,0,0
1003,931,4,0,0,2,0,2
6422,6414,1,0,0,1,0,0
1269,524,1,0,0,0,1,0
918,419,26,0.02565,0.02896544967302018266887143682,21,5,0
148,3008,7,0.41191,0.4255297625123760183738061637,3,3,1
202,133,4,0,0,3,1,0
4482,10627,1,0,0,0,1,0
399,1123,4,0.05162,0.1078111946532999164578111946,3,1,0
15,8,1,0,0,0,0,1
81,15,4,0,0,4,0,0
3592,2783,3,0,0,1,2,0
1081,543,1,0.0257,0.06011695906432748538011695906,0,1,0
512,399,5,0.00684,0.01428571428571428571428571429,2,2,1
2047,410,7,0.0114,0.01063829787234042553191489362,7,0,0
3323,1085,3,0,0,3,0,0
6986,1085,6,0,0,5,1,0
8024,5227,1,0,0,0,1,0
79,82,7,0.2907,0.3761289528731389196505475575,3,3,1
10,6767,1,0,0,1,0,0
6992,53646,1,0,0,0,1,0
8519,3368,1,0.0137,0.005413308044886992255413308045,1,0,0
294,1049,7,1.3224,1.845398974034485096382002667,5,2,0
1020,379,6,0.00849,0.01773182957393483709273182957,3,0,3
355,3008,5,0.00166,0.002917185436710054706659120920,3,0,2
66,72,1,0,0,0,1,0
1162,1160,1,0,0,0,1,0
58,232,2,0.0912,0.03603603603603603603603603604,0,1,1
434,653,2,0,0,0,2,0
2462,10484,1,0,0,1,0,0
5545,46500,1,0,0,1,0,0
289,543,6,0.09578,0.1455267974328408529904032559,2,3,1
51210,2921,1,0.00342,0.002857142857142857142857142857,1,0,0
1050,1071,1,0.0228,0.05263157894736842105263157895,1,0,0
932,1083,7,0.02109,0.04564266924809023758917485638,1,5,1
1075,3325,5,0,0,1,3,1
1267,19771,1,0,0,1,0,0
9544,419,1,0,0,1,0,0
2984,1082,1,0.0057,0.01315789473684210526315789474,1,0,0
2424,25243,4,0,0,1,3,0
1108,897,5,0.0228,0.04558176729308276689324270292,2,2,1
479,6541,1,0,0,1,0,0
776,1387,1,0.00912,0.02105263157894736842105263158,0,1,0
18303,9007,5,0,0,1,4,0
3062,8536,1,0,0,0,0,1
1112,1085,1,0,0,1,0,0
1436,2503,8,0,0,4,4,0
4814,5585,1,0,0,1,0,0
982,455,2,0.0228,0.04651162790697674418604651163,0,1,1
8687,4482,1,0,0,0,1,0
1124,2374,2,0,0,1,1,0
29397,653,1,0,0,1,0,0
14171,825,1,0,0,0,1,0
128,265,2,0.00456,0.01052631578947368421052631579,1,1,0
11609,10775,1,0,0,1,0,0
12378,20,2,0,0,2,0,0
232,2700,5,0,0,2,3,0
6182,1108,2,0.0228,0.009009009009009009009009009009,2,0,0
1085,720,19,0.06017,0.1034679722562219502243982048,15,4,0
814,13726,1,0,0,0,1,0
918,129,2,0.00068,0.001549327865117338801549327865,1,0,1
417,9569,1,0,0,1,0,0
1897,1322,4,0,0,3,1,0
3522,506,5,0.0114,0.01223701159295835122370115930,5,0,0
862,276,2,0.00228,0.004651162790697674418604651163,1,1,0
1105,1025,1,0,0,1,0,0
41146,416,1,0,0,1,0,0
1071,1237,5,0.0376,0.02443144899285250162443144899,3,2,0
14,26,2,0.0114,0.01709401709401709401709401709,1,1,0
862,631,1,0,0,0,0,1
410,1038,9,0.22914,0.2327826195268691954228266019,4,3,2
46,4083,1,0,0,1,0,0
683,48,1,0.0103,0.008604845446950710108604845447,1,0,0
10348,46,1,0,0,1,0,0
48858,2984,3,0,0,2,1,0
1020,931,3,0.02394,0.05375939849624060150375939850,1,1,1
266,1264,1,0,0,0,1,0
1005,5,10,0.00627,0.01309523809523809523809523810,7,2,1
6227,1091,1,0,0,0,1,0
