source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
290,20,2,0,0,0,2,0,0,0,0,0,0,0
749,6195,8,0.2508,0.259037016,5,3,0,0.0741,0.1767,0,0.091430499,0.167606516,0
337,3930,1,0,0,1,0,0,0,0,0,0,0,0
1387,5514,1,0,0,0,1,0,0,0,0,0,0,0
2323,25230,1,0,0,1,0,0,0,0,0,0,0,0
13726,24032,1,0,0,0,1,0,0,0,0,0,0,0
1005,4554,1,0,0,1,0,0,0,0,0,0,0,0
4171,46,2,0,0,2,0,0,0,0,0,0,0,0
252,12,13,0.5586,0.733469193,6,4,3,0.3534,0.2052,0,0.529333854,0.204135338,0
1693,6676,1,0,0,1,0,0,0,0,0,0,0,0
3709,13225,2,0,0,0,2,0,0,0,0,0,0,0
170,7443,7,0,0,7,0,0,0,0,0,0,0,0
472,2995,1,0,0,1,0,0,0,0,0,0,0,0
14160,1429,1,0,0,1,0,0,0,0,0,0,0,0
1322,5544,7,0,0,4,2,1,0,0,0,0,0,0
6156,2990,19,0,0,19,0,0,0,0,0,0,0,0
9010,354,3,0,0,2,1,0,0,0,0,0,0,0
2672,2441,4,0.00855,0.007922999,4,0,0,0.00855,0,0,0.007922999,0,0
3709,366,2,0,0,0,1,1,0,0,0,0,0,0
1159,244,4,0,0,3,0,1,0,0,0,0,0,0
1160,162,2,0.0057,0.008547009,2,0,0,0.0057,0,0,0.008547009,0,0
1433,403,1,0,0,0,1,0,0,0,0,0,0,0
199,12,4,0.1391,0.290517962,3,1,0,0.0821,0.057,0,0.171470343,0.119047619,0
169,324,1,0,0,0,1,0,0,0,0,0,0,0
449,1511,31,0,0,25,5,1,0,0,0,0,0,0
1025,1429,8,0.02508,0.026454221,3,1,4,0.00228,0,0.0228,0.001980198,0,0.024474023
995,1423,6,0.0114,0.023023349,3,2,1,0,0.0114,0,0,0.023023349,0
2598,169,1,0,0,0,0,1,0,0,0,0,0,0
362,936,1,0,0,0,0,1,0,0,0,0,0,0
648,630,3,0.0137,0.031625115,2,1,0,0.0137,0,0,0.031625115,0,0
4255,506,6,0,0,6,0,0,0,0,0,0,0,0
163,366,1,0,0,0,1,0,0,0,0,0,0,0
1784,2503,1,0,0,1,0,0,0,0,0,0,0,0
294,3336,9,0,0,5,4,0,0,0,0,0,0,0
2944,11282,5,0,0,0,3,2,0,0,0,0,0,0
458,749,8,0.1026,0.066666667,4,3,1,0.1026,0,0,0.066666667,0,0
131,331,1,0,0,0,0,1,0,0,0,0,0,0
28643,2977,5,0,0,3,2,0,0,0,0,0,0,0
3057,16795,1,0,0,0,1,0,0,0,0,0,0,0
448,44,1,0.0342,0.078947368,1,0,0,0.0342,0,0,0.078947368,0,0
1269,234,4,0,0,3,1,0,0,0,0,0,0,0
1038,506,9,0.0616,0.057946724,8,1,0,0.0616,0,0,0.057946724,0,0
1049,18916,1,0.0456,0.048948046,0,1,0,0,0.0456,0,0,0.048948046,0
999,8460,4,0,0,1,2,1,0,0,0,0,0,0
3793,28643,1,0,0,0,1,0,0,0,0,0,0,0
6574,1387,4,0,0,4,0,0,0,0,0,0,0,0
625,3368,1,0,0,0,0,1,0,0,0,0,0,0
999,2027,1,0,0,1,0,0,0,0,0,0,0,0
2282,3508,9,0,0,7,0,2,0,0,0,0,0,0
12388,2944,12,0,0,8,4,0,0,0,0,0,0,0
157,3134,7,0,0,7,0,0,0,0,0,0,0,0
130,1415,6,0,0,6,0,0,0,0,0,0,0,0
485,2362,6,0,0,4,2,0,0,0,0,0,0,0
1390,2239,2,0,0,1,0,1,0,0,0,0,0,0
804,5225,3,0,0,3,0,0,0,0,0,0,0,0
1390,790,3,0,0,2,1,0,0,0,0,0,0,0
6993,12302,3,0,0,1,2,0,0,0,0,0,0,0
8541,697,11,0,0,8,3,0,0,0,0,0,0,0
15,254,1,0,0,1,0,0,0,0,0,0,0,0
1210,4718,1,0.00228,0.001980198,0,1,0,0,0.00228,0,0,0.001980198,0
1411,429,1,0,0,0,1,0,0,0,0,0,0,0
68987,605,1,0,0,1,0,0,0,0,0,0,0,0
